Word,Year,Frequency
thigh,1850,2
posterior,1850,2
sever,1850,2
appetite,1850,2
pulse,1850,2
natural,1850,2
skin,1850,2
electricity,1850,2
complained,1850,2
improved,1850,2
last,1850,2
slightly,1850,2
three,1850,2
soon,1850,2
joints,1850,2
lower,1850,2
extremity,1850,2
power,1850,2
Legs,1850,2
hands,1850,2
have,1850,2
that,1850,2
healthy,1850,2
Seton,1850,2
discharge,1850,2
Patrick,1846,2
knee,1846,2
occasioned,1846,2
Cold,1846,2
Douche,1846,2
side,1846,2
Mary,1846,2
diameter,1846,2
above,1846,2
says,1846,2
About,1846,2
came,1846,2
same,1846,2
time,1846,2
behind,1846,2
occasional,1846,2
Rodgers,1846,2
while,1846,2
shoulder,1846,2
dislocated,1846,2
when,1846,2
probably,1846,2
parts,1846,2
ankle,1846,2
first,1846,2
noticed,1846,2
considerable,1846,2
subject,1846,2
inflammatory,1846,2
several,1846,2
followed,1846,2
covered,1846,2
Fibula,1846,2
middle,1846,2
into,1846,2
other,1846,2
Snuff,1846,2
having,1846,2
three,1846,2
wheels,1846,2
tween,1846,2
feet,1846,2
under,1846,2
going,1846,2
caused,1850,2
knee,1850,2
condition,1850,2
contusion,1850,2
Treatment,1850,2
Acid,1850,2
integument,1850,2
dressed,1850,2
Admitted,1850,2
Under,1850,2
Post,1850,2
treatment,1850,2
appearance,1850,2
having,1850,2
There,1850,2
ether,1850,2
changed,1850,2
soft,1850,2
Ankle,1854,2
Married,1854,2
that,1854,2
this,1854,2
admission,1854,2
swollen,1854,2
says,1854,2
hurt,1854,2
cannot,1854,2
less,1854,2
with,1854,2
patient,1854,2
followed,1854,2
side,1854,2
flour,1854,2
limb,1854,2
Erysipelas,1854,2
beginning,1854,2
fade,1854,2
Sept,1854,2
daily,1854,2
Limb,1854,2
after,1854,2
applied,1854,2
14th,1854,2
Cured,1854,2
Thigh,1854,2
thigh,1854,2
inch,1854,2
than,1854,2
double,1854,2
inclined,1854,2
union,1854,2
shortening,1854,2
unfortunate,1857,2
cannot,1857,2
fits,1857,2
July,1857,2
struck,1857,2
tibia,1857,2
Hemorrhage,1857,2
applied,1857,2
compress,1857,2
Dressings,1857,2
today,1857,2
under,1857,2
Dressed,1857,2
dressed,1857,2
opposite,1857,2
Cold,1857,2
upon,1857,2
hand,1857,2
index,1857,2
finger,1857,2
pointing,1857,2
after,1857,2
been,1857,2
long,1857,2
these,1857,2
head,1857,2
water,1857,2
well,1857,2
last,1857,2
deeply,1857,2
time,1857,2
fullness,1857,2
much,1857,2
good,1857,2
evidence,1857,2
disappeared,1857,2
were,1857,2
inner,1857,2
both,1857,2
eyelids,1857,2
Cock,1862,2
Gilbert,1862,2
diarrhoea,1862,2
ever,1862,2
much,1862,2
Diet,1862,2
more,1862,2
Discontinue,1862,2
suppositories,1862,2
Wine,1862,2
sleeps,1862,2
Tongue,1862,2
chemical,1862,2
above,1862,2
sore,1862,2
slightly,1862,2
Flax,1862,2
seed,1862,2
liver,1862,2
Penn,1862,2
chill,1862,2
vomiting,1862,2
coated,1862,2
slept,1862,2
little,1862,2
morning,1862,2
feels,1862,2
fistula,1862,2
moved,1862,2
four,1862,2
times,1862,2
rather,1862,2
prescription,1862,2
Dovers,1862,2
powder,1862,2
troubled,1862,2
head,1862,2
improved,1862,2
Thigh,1849,2
caused,1849,2
caught,1849,2
while,1849,2
standing,1849,2
complains,1849,2
soreness,1849,2
back,1849,2
left,1849,2
Seaman,1849,2
falling,1849,2
subsided,1849,2
fracture,1849,2
admission,1849,2
thigh,1849,2
straight,1849,2
18th,1849,2
10th,1849,2
some,1849,2
Boatman,1849,2
August,1849,2
tender,1849,2
painful,1849,2
size,1849,2
13th,1849,2
after,1849,2
exposure,1849,2
very,1849,2
nearly,1849,2
much,1849,2
hours,1849,2
applied,1849,2
ceased,1849,2
Discharge,1849,2
ball,1849,2
Ilium,1849,2
peritonitis,1849,2
still,1849,2
mouth,1849,2
reduced,1849,2
Born,1809,2
Hospital,1809,2
time,1809,2
increased,1809,2
particularly,1809,2
coughing,1809,2
course,1809,2
great,1809,2
blood,1809,2
bleeding,1809,2
nose,1809,2
evening,1809,2
Skin,1809,2
upon,1809,2
cathartic,1809,2
effect,1809,2
above,1809,2
complaints,1809,2
twenty,1809,2
pulmonary,1809,2
cough,1809,2
anodyne,1809,2
28th,1809,2
Takes,1809,2
Digitalis,1809,2
much,1809,2
grain,1809,2
rest,1809,2
Continue,1809,2
medicine,1809,2
still,1809,2
kidneys,1809,2
14th,1809,2
pains,1809,2
improved,1809,2
since,1809,2
last,1809,2
water,1809,2
11th,1809,2
evidently,1809,2
than,1809,2
attending,1809,2
Physician,1809,2
extending,1809,2
whole,1809,2
right,1809,2
same,1809,2
before,1809,2
received,1809,2
appeared,1809,2
morning,1809,2
Mind,1809,2
following,1809,2
three,1809,2
Juniper,1809,2
nearly,1809,2
natural,1809,2
colour,1809,2
April,1809,2
large,1809,2
there,1809,2
ulcer,1809,2
penis,1809,2
Ascites,1841,2
when,1841,2
became,1841,2
distended,1841,2
slightly,1841,2
good,1841,2
large,1841,2
distinct,1841,2
Sept,1841,2
occasionally,1841,2
little,1841,2
water,1841,2
There,1841,2
most,1841,2
attack,1841,2
have,1841,2
necessary,1841,2
yesterday,1841,2
were,1841,2
great,1841,2
relief,1841,2
Died,1841,2
Seaman,1841,2
Left,1841,2
chills,1841,2
Last,1841,2
chill,1841,2
Lips,1841,2
loose,1841,2
better,1841,2
this,1841,2
from,1841,2
slight,1841,2
natural,1841,2
high,1841,2
brown,1841,2
Slight,1841,2
opened,1841,2
hours,1841,2
continued,1841,2
Teeth,1841,2
covered,1841,2
blood,1841,2
across,1841,2
small,1841,2
tissue,1841,2
healthy,1841,2
Liver,1841,2
dark,1841,2
injected,1841,2
also,1841,2
head,1841,2
right,1841,2
some,1841,2
Discharged,1841,2
Cured,1841,2
Intermittent,1841,2
after,1841,2
Bronchitis,1846,2
Says,1846,2
Tolu,1846,2
breathing,1846,2
long,1846,2
attack,1846,2
Department,1846,2
bones,1846,2
chill,1846,2
appetite,1846,2
last,1846,2
found,1846,2
than,1846,2
region,1846,2
Cured,1846,2
white,1846,2
liver,1846,2
colored,1846,2
yellowness,1846,2
skin,1846,2
light,1846,2
coat,1846,2
entirely,1846,2
Porter,1856,2
Head,1856,2
week,1856,2
another,1856,2
left,1856,2
hand,1856,2
Urine,1856,2
most,1856,2
disappeared,1856,2
28th,1856,2
symptoms,1856,2
sick,1856,2
while,1856,2
feels,1856,2
back,1856,2
admission,1856,2
slow,1856,2
yellow,1856,2
face,1856,2
color,1856,2
Died,1856,2
John,1856,2
feeble,1856,2
appearance,1856,2
taken,1856,2
months,1856,2
says,1856,2
after,1856,2
healthy,1856,2
morning,1856,2
diarrhea,1856,2
Diarrhea,1856,2
Germ,1856,2
attack,1856,2
that,1856,2
24th,1856,2
improving,1856,2
13th,1856,2
chill,1856,2
15th,1856,2
febrile,1856,2
rapidly,1862,2
lung,1862,2
found,1862,2
stage,1862,2
lower,1862,2
crepitation,1862,2
bronchial,1862,2
like,1862,2
that,1862,2
bronchitis,1862,2
28th,1862,2
Relieved,1862,2
side,1862,2
difficulty,1862,2
over,1862,2
Iodine,1862,2
30th,1862,2
Stokes,1862,2
complaint,1862,2
severe,1862,2
somewhat,1862,2
Discharged,1862,2
year,1862,2
breathing,1862,2
months,1862,2
usual,1862,2
Lung,1862,2
stomach,1862,2
water,1862,2
Considerable,1862,2
Hospital,1862,2
insensible,1862,2
paroxysm,1862,2
dysphoria,1862,2
LXXX,1862,2
Last,1862,2
appetite,1844,2
fever,1844,2
made,1844,2
head,1844,2
back,1844,2
Bowels,1844,2
Covered,1844,2
thick,1844,2
that,1844,2
Also,1844,2
were,1844,2
began,1844,2
Jacob,1844,2
attack,1844,2
while,1844,2
bowels,1844,2
having,1844,2
Pulse,1844,2
quick,1844,2
Fever,1844,2
until,1844,2
about,1844,2
over,1844,2
Last,1844,2
patient,1844,2
morning,1844,2
blood,1844,2
Were,1844,2
then,1844,2
after,1844,2
dark,1844,2
matter,1844,2
headache,1844,2
upon,1837,2
which,1837,2
applied,1837,2
Surgeon,1837,2
Sept,1847,1
Molly,1847,1
McCormick,1847,1
month,1847,1
sick,1847,1
days,1847,1
brought,1847,1
Hospital,1847,1
very,1847,1
state,1847,1
from,1847,1
street,1847,1
stimulants,1847,1
were,1847,1
freely,1847,1
administered,1847,1
this,1847,1
morning,1847,1
better,1847,1
complaints,1847,1
foot,1847,1
bones,1847,1
great,1847,1
region,1847,1
face,1847,1
warm,1847,1
full,1847,1
coated,1847,1
white,1847,1
regular,1847,1
Better,1847,1
Complexions,1847,1
Convalescent,1847,1
walking,1847,1
ward,1847,1
Likes,1847,1
food,1847,1
Johnston,1847,1
Mary,1847,1
Boyle,1847,1
Patient,1847,1
weeks,1847,1
with,1847,1
chill,1847,1
pains,1847,1
through,1847,1
body,1847,1
nausea,1847,1
loss,1847,1
appetite,1847,1
Languor,1847,1
Complains,1847,1
slight,1847,1
head,1847,1
Very,1847,1
languid,1847,1
stupid,1847,1
Full,1847,1
soft,1847,1
brown,1847,1
center,1847,1
along,1847,1
rather,1847,1
constipated,1847,1
exception,1847,1
Food,1847,1
first,1847,1
Bronchitis,1855,1
Admitted,1855,1
attending,1855,1
Ireland,1855,1
Auctioneer,1855,1
expectorant,1855,1
lain,1855,1
best,1855,1
that,1855,1
take,1855,1
partially,1855,1
slight,1855,1
characteristic,1855,1
more,1855,1
dull,1855,1
higher,1855,1
persisting,1855,1
fifth,1855,1
there,1855,1
decided,1855,1
yesterday,1855,1
Diminished,1855,1
distended,1855,1
spaces,1855,1
Between,1855,1
March,1855,1
Francis,1855,1
Simon,1855,1
Germany,1855,1
Iron,1855,1
worker,1855,1
Days,1855,1
before,1855,1
admission,1855,1
pain,1855,1
swollen,1855,1
skin,1855,1
warm,1855,1
flushing,1855,1
Pulse,1855,1
first,1855,1
cardiac,1855,1
complications,1855,1
hour,1855,1
Alkaline,1855,1
wash,1855,1
loose,1855,1
medicine,1855,1
improving,1855,1
April,1855,1
Smith,1855,1
Elizabeth,1855,1
Single,1855,1
days,1855,1
swelling,1855,1
ankle,1855,1
joint,1855,1
shifting,1855,1
attacking,1855,1
knees,1855,1
Affliction,1855,1
much,1855,1
Swollen,1855,1
complication,1855,1
slightly,1855,1
confirmed,1855,1
hours,1855,1
Solution,1855,1
affected,1855,1
found,1855,1
somewhat,1855,1
decreasing,1855,1
urine,1855,1
still,1855,1
grow,1855,1
exact,1855,1
shoulder,1855,1
Some,1855,1
aggravation,1855,1
Patient,1855,1
sits,1855,1
convalescing,1855,1
Pneumonia,1855,1
Alex,1855,1
Scotland,1855,1
stone,1855,1
cutter,1855,1
been,1855,1
Sick,1855,1
about,1855,1
fortnight,1855,1
general,1855,1
Symptoms,1855,1
expectoration,1855,1
chest,1855,1
tongue,1855,1
cracked,1855,1
intermittent,1855,1
firm,1855,1
extensively,1855,1
Left,1855,1
bronchial,1855,1
Respiration,1855,1
Mind,1855,1
fever,1855,1
some,1855,1
Bronchitic,1855,1
sound,1855,1
only,1855,1
coat,1855,1
support,1855,1
improved,1855,1
Convalescing,1855,1
rapidly,1855,1
Seaman,1855,1
just,1855,1
arrived,1855,1
Liverpool,1855,1
convulsions,1855,1
board,1855,1
ship,1855,1
again,1855,1
last,1855,1
First,1855,1
months,1855,1
Says,1855,1
fell,1855,1
down,1855,1
suddenly,1855,1
symptoms,1855,1
excepting,1855,1
feeling,1855,1
Weakness,1855,1
unconscious,1855,1
hurting,1855,1
mouth,1855,1
Convulsions,1855,1
lasting,1855,1
minutes,1855,1
unbitten,1855,1
usually,1855,1
opened,1855,1
Medicine,1855,1
Complains,1855,1
sometimes,1855,1
hair,1855,1
Last,1855,1
nunship,1855,1
life,1855,1
existence,1855,1
Passes,1855,1
water,1855,1
freely,1855,1
Michael,1840,1
Burk,1840,1
brought,1840,1
Hospital,1840,1
evening,1840,1
having,1840,1
fallen,1840,1
fourth,1840,1
story,1840,1
window,1840,1
ground,1840,1
striking,1840,1
upon,1840,1
back,1840,1
house,1840,1
cold,1840,1
almost,1840,1
insensible,1840,1
moaning,1840,1
constantly,1840,1
soon,1840,1
sinapism,1840,1
belly,1840,1
bottles,1840,1
water,1840,1
feet,1840,1
Warm,1840,1
brandy,1840,1
toddy,1840,1
afterward,1840,1
ammonia,1840,1
ministered,1840,1
rallied,1840,1
warmth,1840,1
return,1840,1
could,1840,1
speak,1840,1
restless,1840,1
irregular,1840,1
Several,1840,1
each,1840,1
broken,1840,1
Respiration,1840,1
labored,1840,1
Stimulants,1840,1
given,1840,1
until,1840,1
Post-mortem,1840,1
Abdomen,1840,1
quantity,1840,1
bloody,1840,1
fluid,1840,1
flowed,1840,1
Liver,1840,1
ruptured,1840,1
places,1840,1
these,1840,1
lacerations,1840,1
superficial,1840,1
include,1840,1
peritoneum,1840,1
gall,1840,1
bladder,1840,1
anterior,1840,1
edge,1840,1
liver,1840,1
depth,1840,1
abdomen,1840,1
infiltrated,1840,1
turning,1840,1
Sternum,1840,1
most,1840,1
extraordinary,1840,1
displacement,1840,1
seen,1840,1
diaphragm,1840,1
lacerated,1840,1
Page,1840,1
extent,1840,1
four,1840,1
inches,1840,1
where,1840,1
Through,1840,1
transverse,1840,1
arch,1840,1
folds,1840,1
been,1840,1
forced,1840,1
Another,1840,1
rather,1840,1
laceration,1840,1
upper,1840,1
passed,1840,1
cavity,1840,1
chest,1840,1
lung,1840,1
collapsed,1840,1
lesser,1840,1
against,1840,1
heart,1840,1
pushed,1840,1
backwards,1840,1
spaces,1840,1
filled,1840,1
Most,1840,1
different,1840,1
points,1840,1
organs,1840,1
healthy,1840,1
Head,1840,1
examined,1840,1
James,1840,1
admitted,1840,1
pain,1840,1
shoulder,1840,1
following,1840,1
kick,1840,1
relief,1840,1
cough,1840,1
Tart,1840,1
Fracture,1840,1
Base,1840,1
Thomas,1840,1
mason,1840,1
Admitted,1840,1
22nd,1840,1
result,1840,1
fall,1840,1
scaffold,1840,1
sensible,1840,1
Directly,1840,1
accident,1840,1
copiously,1840,1
stopped,1840,1
Soon,1840,1
comatose,1840,1
pupils,1840,1
Sinapisms,1840,1
legs,1840,1
Enema,1840,1
stimulants,1840,1
Patient,1840,1
same,1840,1
fuller,1840,1
bled,1840,1
under,1840,1
afternoon,1840,1
consultation,1840,1
called,1840,1
determined,1840,1
portion,1840,1
accordingly,1840,1
parietal,1840,1
ting,1840,1
pericranium,1840,1
itself,1840,1
thickened,1840,1
Over,1840,1
there,1840,1
slight,1840,1
mound,1840,1
length,1840,1
circles,1840,1
trephine,1840,1
stage,1840,1
operation,1840,1
decidedly,1840,1
moribund,1840,1
Eggnog,1840,1
administered,1840,1
There,1840,1
copious,1840,1
venous,1840,1
controlled,1840,1
pressure,1840,1
then,1840,1
returned,1840,1
half,1840,1
Post,1840,1
appearances,1840,1
hours,1840,1
death,1840,1
removing,1840,1
surface,1840,1
more,1840,1
however,1840,1
than,1840,1
taking,1840,1
extravasated,1840,1
substance,1840,1
inferior,1840,1
lobe,1840,1
fingers,1840,1
might,1840,1
placed,1840,1
commencing,1840,1
occipital,1840,1
protuberance,1840,1
along,1840,1
directly,1840,1
body,1840,1
Sphenoid,1840,1
Ulcers,1840,1
Patrick,1840,1
Powers,1840,1
labourer,1840,1
April,1840,1
16th,1840,1
shin,1840,1
year,1840,1
since,1840,1
time,1840,1
have,1840,1
injured,1840,1
middle,1840,1
size,1840,1
dollar,1840,1
outer,1840,1
line,1840,1
first,1840,1
thick,1840,1
Treatment,1840,1
Poultice,1840,1
Balsam,1840,1
bandaged,1840,1
rapidly,1840,1
healed,1840,1
Discharged,1840,1
Cured,1840,1
Typhus,1837,1
Michael,1837,1
years,1837,1
born,1837,1
Laborer,1837,1
entered,1837,1
June,1837,1
30th,1837,1
Sailed,1837,1
Quebec,1837,1
arrived,1837,1
week,1837,1
Been,1837,1
Sick,1837,1
days,1837,1
Symptoms,1837,1
Heat,1837,1
skin,1837,1
moist,1837,1
Petechiae,1837,1
number,1837,1
scattered,1837,1
over,1837,1
Abdomen,1837,1
Pulse,1837,1
full,1837,1
quite,1837,1
yesterday,1837,1
Afternoon,1837,1
letter,1837,1
furred,1837,1
increased,1837,1
edges,1837,1
Yellow,1837,1
centre,1837,1
most,1837,1
pulse,1837,1
Continue,1837,1
cool,1837,1
rather,1837,1
somewhat,1837,1
diminished,1837,1
night,1837,1
Slight,1837,1
continue,1837,1
About,1837,1
More,1837,1
Improved,1837,1
continuance,1837,1
looks,1837,1
better,1837,1
this,1837,1
time,1837,1
gradually,1837,1
gained,1837,1
strength,1837,1
appetite,1837,1
became,1837,1
good,1837,1
discharged,1837,1
cured,1837,1
28th,1837,1
Richardson,1837,1
Marine,1837,1
Phthisis,1837,1
Aneurism,1837,1
Thomas,1837,1
Boyd,1837,1
England,1837,1
Seaman,1837,1
Entered,1837,1
York,1837,1
24th,1837,1
Liverpool,1837,1
here,1837,1
caught,1837,1
Cold,1837,1
coast,1837,1
month,1837,1
January,1837,1
beginning,1837,1
than,1837,1
been,1837,1
expectoration,1837,1
thigh,1837,1
Very,1837,1
chest,1837,1
Bronchitis,1850,1
Jeremiah,1850,1
Boatman,1850,1
Intern,1850,1
year,1850,1
past,1850,1
Been,1850,1
gravel,1850,1
Obliged,1850,1
pass,1850,1
often,1850,1
uncontrolled,1850,1
passing,1850,1
urine,1850,1
thick,1850,1
Three,1850,1
months,1850,1
Side,1850,1
ribs,1850,1
whenever,1850,1
Lifted,1850,1
anything,1850,1
forced,1850,1
inspiration,1850,1
cough,1850,1
mostly,1850,1
disappear,1850,1
Passes,1850,1
frequently,1850,1
Stokes,1850,1
Cough,1850,1
Nearly,1850,1
desire,1850,1
make,1850,1
Water,1850,1
18th,1850,1
Daniel,1850,1
Jersey,1850,1
Taken,1850,1
type,1850,1
Attack,1850,1
comes,1850,1
short,1850,1
light,1850,1
Appetite,1850,1
Head,1850,1
perspiring,1850,1
chill,1850,1
Feels,1850,1
Pretty,1850,1
Complains,1850,1
taste,1850,1
Mouth,1850,1
25th,1850,1
Appears,1850,1
nothing,1850,1
rapidly,1850,1
gaining,1850,1
Sciatica,1850,1
Mary,1850,1
eighteen,1850,1
Months,1850,1
suffer,1850,1
commencing,1850,1
Thence,1850,1
extending,1850,1
down,1850,1
Outer,1850,1
aspect,1850,1
ankle,1850,1
More,1850,1
damp,1850,1
unpleasant,1850,1
Weather,1850,1
motion,1850,1
good,1850,1
Poor,1850,1
menstruates,1850,1
regularly,1850,1
rather,1850,1
Confined,1850,1
cool,1850,1
acupunctuation,1850,1
23rd,1850,1
application,1850,1
ordered,1850,1
discontinued,1850,1
along,1850,1
course,1850,1
Nerve,1850,1
somewhat,1850,1
Entirely,1850,1
five,1850,1
blisters,1850,1
